PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"28584888","Autism spectrum disorder: neuropathology and animal models","Varghese M, Keshav N, Jacot-Descombes S, Warda T, Wicinski B, Dickstein DL, Harony-Nicolas H, De Rubeis S, Drapeau E, Buxbaum JD, Hof PR.","Acta Neuropathol. 2017 Oct;134(4):537-566. doi: 10.1007/s00401-017-1736-4. Epub 2017 Jun 5.","Varghese M","Acta Neuropathol","2017","2017/06/07","PMC5693718","NIHMS882322","10.1007/s00401-017-1736-4"
"26808898","Autism-like behaviours and germline transmission in transgenic monkeys overexpressing MeCP2","Liu Z, Li X, Zhang JT, Cai YJ, Cheng TL, Cheng C, Wang Y, Zhang CC, Nie YH, Chen ZF, Bian WJ, Zhang L, Xiao J, Lu B, Zhang YF, Zhang XD, Sang X, Wu JJ, Xu X, Xiong ZQ, Zhang F, Yu X, Gong N, Zhou WH, Sun Q, Qiu Z.","Nature. 2016 Feb 4;530(7588):98-102. doi: 10.1038/nature16533. Epub 2016 Jan 25.","Liu Z","Nature","2016","2016/01/26","","","10.1038/nature16533"
"32698189","MeCP2 links heterochromatin condensates and neurodevelopmental disease","Li CH, Coffey EL, Dall'Agnese A, Hannett NM, Tang X, Henninger JE, Platt JM, Oksuz O, Zamudio AV, Afeyan LK, Schuijers J, Liu XS, Markoulaki S, Lungjangwa T, LeRoy G, Svoboda DS, Wogram E, Lee TI, Jaenisch R, Young RA.","Nature. 2020 Oct;586(7829):440-444. doi: 10.1038/s41586-020-2574-4. Epub 2020 Jul 22.","Li CH","Nature","2020","2020/07/23","PMC7735819","NIHMS1646018","10.1038/s41586-020-2574-4"
"24615633","Rett syndrome and MeCP2","Liyanage VR, Rastegar M.","Neuromolecular Med. 2014 Jun;16(2):231-64. doi: 10.1007/s12017-014-8295-9. Epub 2014 Mar 11.","Liyanage VR","Neuromolecular Med","2014","2014/03/12","PMC5798978","CAMS6492","10.1007/s12017-014-8295-9"
"15121991","The genetics of autism","Muhle R, Trentacoste SV, Rapin I.","Pediatrics. 2004 May;113(5):e472-86. doi: 10.1542/peds.113.5.e472.","Muhle R","Pediatrics","2004","2004/05/04","","","10.1542/peds.113.5.e472"
"31398341","Targeting Peripheral Somatosensory Neurons to Improve Tactile-Related Phenotypes in ASD Models","Orefice LL, Mosko JR, Morency DT, Wells MF, Tasnim A, Mozeika SM, Ye M, Chirila AM, Emanuel AJ, Rankin G, Fame RM, Lehtinen MK, Feng G, Ginty DD.","Cell. 2019 Aug 8;178(4):867-886.e24. doi: 10.1016/j.cell.2019.07.024.","Orefice LL","Cell","2019","2019/08/10","PMC6704376","NIHMS1534970","10.1016/j.cell.2019.07.024"
"30627085","Synaptopathology Involved in Autism Spectrum Disorder","Guang S, Pang N, Deng X, Yang L, He F, Wu L, Chen C, Yin F, Peng J.","Front Cell Neurosci. 2018 Dec 21;12:470. doi: 10.3389/fncel.2018.00470. eCollection 2018.","Guang S","Front Cell Neurosci","2018","2019/01/11","PMC6309163","","10.3389/fncel.2018.00470"
"26237041","MECP2 disorders: from the clinic to mice and back","Lombardi LM, Baker SA, Zoghbi HY.","J Clin Invest. 2015 Aug 3;125(8):2914-23. doi: 10.1172/JCI78167. Epub 2015 Aug 3.","Lombardi LM","J Clin Invest","2015","2015/08/04","PMC4563741","","10.1172/JCI78167"
"30649225","Towards a better diagnosis and treatment of Rett syndrome: a model synaptic disorder","Banerjee A, Miller MT, Li K, Sur M, Kaufmann WE.","Brain. 2019 Feb 1;142(2):239-248. doi: 10.1093/brain/awy323.","Banerjee A","Brain","2019","2019/01/17","PMC6933507","","10.1093/brain/awy323"
"20301461","MECP2 Duplication Syndrome","Van Esch H.","2008 Jan 18 [updated 2020 May 21]. In: Adam MP, Ardinger HH, Pagon RA, Wallace SE, Bean LJH, Mirzaa G, Amemiya A, editors. GeneReviews(®) [Internet]. Seattle (WA): University of Washington, Seattle; 1993–2021.","Van Esch H","GeneReviews(®)","1993","2020/05/21","","",""
"20301670","MECP2 Disorders","Kaur S, Christodoulou J.","2001 Oct 3 [updated 2019 Sep 19]. In: Adam MP, Ardinger HH, Pagon RA, Wallace SE, Bean LJH, Mirzaa G, Amemiya A, editors. GeneReviews(®) [Internet]. Seattle (WA): University of Washington, Seattle; 1993–2021.","Kaur S","GeneReviews(®)","1993","2019/09/19","","",""
"31758607","Dysfunction of the corticostriatal pathway in autism spectrum disorders","Li W, Pozzo-Miller L.","J Neurosci Res. 2020 Nov;98(11):2130-2147. doi: 10.1002/jnr.24560. Epub 2019 Nov 22.","Li W","J Neurosci Res","2020","2019/11/24","PMC7242149","NIHMS1541880","10.1002/jnr.24560"
"31807945","Mechanisms of Tactile Sensory Phenotypes in Autism: Current Understanding and Future Directions for Research","Schaffler MD, Middleton LJ, Abdus-Saboor I.","Curr Psychiatry Rep. 2019 Dec 5;21(12):134. doi: 10.1007/s11920-019-1122-0.","Schaffler MD","Curr Psychiatry Rep","2019","2019/12/07","PMC6900204","","10.1007/s11920-019-1122-0"
"31320591","Exosomes regulate neurogenesis and circuit assembly","Sharma P, Mesci P, Carromeu C, McClatchy DR, Schiapparelli L, Yates JR 3rd, Muotri AR, Cline HT.","Proc Natl Acad Sci U S A. 2019 Aug 6;116(32):16086-16094. doi: 10.1073/pnas.1902513116. Epub 2019 Jul 18.","Sharma P","Proc Natl Acad Sci U S A","2019","2019/07/20","PMC6689941","","10.1073/pnas.1902513116"
