PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"28584888","Autism spectrum disorder: neuropathology and animal models","Varghese M, Keshav N, Jacot-Descombes S, Warda T, Wicinski B, Dickstein DL, Harony-Nicolas H, De Rubeis S, Drapeau E, Buxbaum JD, Hof PR.","Acta Neuropathol. 2017 Oct;134(4):537-566. doi: 10.1007/s00401-017-1736-4. Epub 2017 Jun 5.","Varghese M","Acta Neuropathol","2017","2017/06/07","PMC5693718","NIHMS882322","10.1007/s00401-017-1736-4"
"30873608","Phenotypic spectrum of NRXN1 mono- and bi-allelic deficiency: A systematic review","Castronovo P, Baccarin M, Ricciardello A, Picinelli C, Tomaiuolo P, Cucinotta F, Frittoli M, Lintas C, Sacco R, Persico AM.","Clin Genet. 2020 Jan;97(1):125-137. doi: 10.1111/cge.13537. Epub 2019 May 7.","Castronovo P","Clin Genet","2020","2019/03/16","","","10.1111/cge.13537"
"18252227","Structural variation of chromosomes in autism spectrum disorder","Marshall CR, Noor A, Vincent JB, Lionel AC, Feuk L, Skaug J, Shago M, Moessner R, Pinto D, Ren Y, Thiruvahindrapduram B, Fiebig A, Schreiber S, Friedman J, Ketelaars CE, Vos YJ, Ficicioglu C, Kirkpatrick S, Nicolson R, Sloman L, Summers A, Gibbons CA, Teebi A, Chitayat D, Weksberg R, Thompson A, Vardy C, Crosbie V, Luscombe S, Baatjes R, Zwaigenbaum L, Roberts W, Fernandez B, Szatmari P, Scherer SW.","Am J Hum Genet. 2008 Feb;82(2):477-88. doi: 10.1016/j.ajhg.2007.12.009. Epub 2008 Jan 17.","Marshall CR","Am J Hum Genet","2008","2008/02/07","PMC2426913","","10.1016/j.ajhg.2007.12.009"
"30031152","NRXN1 deletion syndrome; phenotypic and penetrance data from 34 families","Al Shehhi M, Forman EB, Fitzgerald JE, McInerney V, Krawczyk J, Shen S, Betts DR, Ardle LM, Gorman KM, King MD, Green A, Gallagher L, Lynch SA.","Eur J Med Genet. 2019 Mar;62(3):204-209. doi: 10.1016/j.ejmg.2018.07.015. Epub 2018 Jul 18.","Al Shehhi M","Eur J Med Genet","2019","2018/07/22","","","10.1016/j.ejmg.2018.07.015"
"32738165","The neurodevelopmental spectrum of synaptic vesicle cycling disorders","John A, Ng-Cordell E, Hanna N, Brkic D, Baker K.","J Neurochem. 2021 Apr;157(2):208-228. doi: 10.1111/jnc.15135. Epub 2020 Aug 18.","John A","J Neurochem","2021","2020/08/02","","","10.1111/jnc.15135"
"28761347","Genetic and epigenetic mechanisms of epilepsy: a review","Chen T, Giri M, Xia Z, Subedi YN, Li Y.","Neuropsychiatr Dis Treat. 2017 Jul 13;13:1841-1859. doi: 10.2147/NDT.S142032. eCollection 2017.","Chen T","Neuropsychiatr Dis Treat","2017","2017/08/02","PMC5516882","","10.2147/NDT.S142032"
"31784728","Neuronal impact of patient-specific aberrant NRXN1α splicing","Flaherty E, Zhu S, Barretto N, Cheng E, Deans PJM, Fernando MB, Schrode N, Francoeur N, Antoine A, Alganem K, Halpern M, Deikus G, Shah H, Fitzgerald M, Ladran I, Gochman P, Rapoport J, Tsankova NM, McCullumsmith R, Hoffman GE, Sebra R, Fang G, Brennand KJ.","Nat Genet. 2019 Dec;51(12):1679-1690. doi: 10.1038/s41588-019-0539-z. Epub 2019 Nov 29.","Flaherty E","Nat Genet","2019","2019/12/01","PMC7451045","NIHMS1541546","10.1038/s41588-019-0539-z"
"32942984","Functional characterization of rare NRXN1 variants identified in autism spectrum disorders and schizophrenia","Ishizuka K, Yoshida T, Kawabata T, Imai A, Mori H, Kimura H, Inada T, Okahisa Y, Egawa J, Usami M, Kushima I, Morikawa M, Okada T, Ikeda M, Branko A, Mori D, Someya T, Iwata N, Ozaki N.","J Neurodev Disord. 2020 Sep 17;12(1):25. doi: 10.1186/s11689-020-09325-2.","Ishizuka K","J Neurodev Disord","2020","2020/09/18","PMC7496212","","10.1186/s11689-020-09325-2"
"31602316","A large data resource of genomic copy number variation across neurodevelopmental disorders","Zarrei M, Burton CL, Engchuan W, Young EJ, Higginbotham EJ, MacDonald JR, Trost B, Chan AJS, Walker S, Lamoureux S, Heung T, Mojarad BA, Kellam B, Paton T, Faheem M, Miron K, Lu C, Wang T, Samler K, Wang X, Costain G, Hoang N, Pellecchia G, Wei J, Patel RV, Thiruvahindrapuram B, Roifman M, Merico D, Goodale T, Drmic I, Speevak M, Howe JL, Yuen RKC, Buchanan JA, Vorstman JAS, Marshall CR, Wintle RF, Rosenberg DR, Hanna GL, Woodbury-Smith M, Cytrynbaum C, Zwaigenbaum L, Elsabbagh M, Flanagan J, Fernandez BA, Carter MT, Szatmari P, Roberts W, Lerch J, Liu X, Nicolson R, Georgiades S, Weksberg R, Arnold PD, Bassett AS, Crosbie J, Schachar R, Stavropoulos DJ, Anagnostou E, Scherer SW.","NPJ Genom Med. 2019 Oct 7;4:26. doi: 10.1038/s41525-019-0098-3. eCollection 2019.","Zarrei M","NPJ Genom Med","2019","2019/10/12","PMC6779875","","10.1038/s41525-019-0098-3"
"27869829","Contribution of copy number variants to schizophrenia from a genome-wide study of 41,321 subjects","Marshall CR, Howrigan DP, Merico D, Thiruvahindrapuram B, Wu W, Greer DS, Antaki D, Shetty A, Holmans PA, Pinto D, Gujral M, Brandler WM, Malhotra D, Wang Z, Fajarado KVF, Maile MS, Ripke S, Agartz I, Albus M, Alexander M, Amin F, Atkins J, Bacanu SA, Belliveau RA Jr, Bergen SE, Bertalan M, Bevilacqua E, Bigdeli TB, Black DW, Bruggeman R, Buccola NG, Buckner RL, Bulik-Sullivan B, Byerley W, Cahn W, Cai G, Cairns MJ, Campion D, Cantor RM, Carr VJ, Carrera N, Catts SV, Chambert KD, Cheng W, Cloninger CR, Cohen D, Cormican P, Craddock N, Crespo-Facorro B, Crowley JJ, Curtis D, Davidson M, Davis KL, Degenhardt F, Del Favero J, DeLisi LE, Dikeos D, Dinan T, Djurovic S, Donohoe G, Drapeau E, Duan J, Dudbridge F, Eichhammer P, Eriksson J, Escott-Price V, Essioux L, Fanous AH, Farh KH, Farrell MS, Frank J, Franke L, Freedman R, Freimer NB, Friedman JI, Forstner AJ, Fromer M, Genovese G, Georgieva L, Gershon ES, Giegling I, Giusti-Rodríguez P, Godard S, Goldstein JI, Gratten J, de Haan L, Hamshere ML, Hansen M, Hansen T, Haroutunian V, Hartmann AM, Henskens FA, Herms S, Hirschhorn JN, Hoffmann P, Hofman A, Huang H, Ikeda M, Joa I, Kähler AK, et al.","Nat Genet. 2017 Jan;49(1):27-35. doi: 10.1038/ng.3725. Epub 2016 Nov 21.","Marshall CR","Nat Genet","2017","2016/11/22","PMC5737772","NIHMS918949","10.1038/ng.3725"
"30100184","Heparan Sulfate Organizes Neuronal Synapses through Neurexin Partnerships","Zhang P, Lu H, Peixoto RT, Pines MK, Ge Y, Oku S, Siddiqui TJ, Xie Y, Wu W, Archer-Hartmann S, Yoshida K, Tanaka KF, Aricescu AR, Azadi P, Gordon MD, Sabatini BL, Wong ROL, Craig AM.","Cell. 2018 Sep 6;174(6):1450-1464.e23. doi: 10.1016/j.cell.2018.07.002. Epub 2018 Aug 9.","Zhang P","Cell","2018","2018/08/14","PMC6173057","","10.1016/j.cell.2018.07.002"
"23375656","Refinement and discovery of new hotspots of copy-number variation associated with autism spectrum disorder","Girirajan S, Dennis MY, Baker C, Malig M, Coe BP, Campbell CD, Mark K, Vu TH, Alkan C, Cheng Z, Biesecker LG, Bernier R, Eichler EE.","Am J Hum Genet. 2013 Feb 7;92(2):221-37. doi: 10.1016/j.ajhg.2012.12.016. Epub 2013 Jan 31.","Girirajan S","Am J Hum Genet","2013","2013/02/05","PMC3567267","","10.1016/j.ajhg.2012.12.016"
"24083347","Neurexins","Reissner C, Runkel F, Missler M.","Genome Biol. 2013;14(9):213. doi: 10.1186/gb-2013-14-9-213.","Reissner C","Genome Biol","2013","2013/10/03","PMC4056431","","10.1186/gb-2013-14-9-213"
"23849776","Detection of clinically relevant genetic variants in autism spectrum disorder by whole-genome sequencing","Jiang YH, Yuen RK, Jin X, Wang M, Chen N, Wu X, Ju J, Mei J, Shi Y, He M, Wang G, Liang J, Wang Z, Cao D, Carter MT, Chrysler C, Drmic IE, Howe JL, Lau L, Marshall CR, Merico D, Nalpathamkalam T, Thiruvahindrapuram B, Thompson A, Uddin M, Walker S, Luo J, Anagnostou E, Zwaigenbaum L, Ring RH, Wang J, Lajonchere C, Wang J, Shih A, Szatmari P, Yang H, Dawson G, Li Y, Scherer SW.","Am J Hum Genet. 2013 Aug 8;93(2):249-63. doi: 10.1016/j.ajhg.2013.06.012. Epub 2013 Jul 11.","Jiang YH","Am J Hum Genet","2013","2013/07/16","PMC3738824","","10.1016/j.ajhg.2013.06.012"
"24188901","Chromosomal microarray analysis of consecutive individuals with autism spectrum disorders or learning disability presenting for genetic services","Roberts JL, Hovanes K, Dasouki M, Manzardo AM, Butler MG.","Gene. 2014 Feb 1;535(1):70-8. doi: 10.1016/j.gene.2013.10.020. Epub 2013 Nov 2.","Roberts JL","Gene","2014","2013/11/06","PMC4423794","NIHMS684267","10.1016/j.gene.2013.10.020"
"21424692","Truncating mutations in NRXN2 and NRXN1 in autism spectrum disorders and schizophrenia","Gauthier J, Siddiqui TJ, Huashan P, Yokomaku D, Hamdan FF, Champagne N, Lapointe M, Spiegelman D, Noreau A, Lafrenière RG, Fathalli F, Joober R, Krebs MO, DeLisi LE, Mottron L, Fombonne E, Michaud JL, Drapeau P, Carbonetto S, Craig AM, Rouleau GA.","Hum Genet. 2011 Oct;130(4):563-73. doi: 10.1007/s00439-011-0975-z. Epub 2011 Mar 22.","Gauthier J","Hum Genet","2011","2011/03/23","PMC3204930","NIHMS332351","10.1007/s00439-011-0975-z"
"31624239","Attention-deficit hyperactivity disorder shares copy number variant risk with schizophrenia and autism spectrum disorder","Gudmundsson OO, Walters GB, Ingason A, Johansson S, Zayats T, Athanasiu L, Sonderby IE, Gustafsson O, Nawaz MS, Jonsson GF, Jonsson L, Knappskog PM, Ingvarsdottir E, Davidsdottir K, Djurovic S, Knudsen GPS, Askeland RB, Haraldsdottir GS, Baldursson G, Magnusson P, Sigurdsson E, Gudbjartsson DF, Stefansson H, Andreassen OA, Haavik J, Reichborn-Kjennerud T, Stefansson K.","Transl Psychiatry. 2019 Oct 17;9(1):258. doi: 10.1038/s41398-019-0599-y.","Gudmundsson OO","Transl Psychiatry","2019","2019/10/19","PMC6797719","","10.1038/s41398-019-0599-y"
"23275889","A discovery resource of rare copy number variations in individuals with autism spectrum disorder","Prasad A, Merico D, Thiruvahindrapuram B, Wei J, Lionel AC, Sato D, Rickaby J, Lu C, Szatmari P, Roberts W, Fernandez BA, Marshall CR, Hatchwell E, Eis PS, Scherer SW.","G3 (Bethesda). 2012 Dec;2(12):1665-85. doi: 10.1534/g3.112.004689. Epub 2012 Dec 1.","Prasad A","G3 (Bethesda)","2012","2013/01/01","PMC3516488","","10.1534/g3.112.004689"
"33191396","Neurexins in autism and schizophrenia-a review of patient mutations, mouse models and potential future directions","Tromp A, Mowry B, Giacomotto J.","Mol Psychiatry. 2021 Mar;26(3):747-760. doi: 10.1038/s41380-020-00944-8. Epub 2020 Nov 15.","Tromp A","Mol Psychiatry","2021","2020/11/16","","","10.1038/s41380-020-00944-8"
"26771491","Astrocytes Assemble Thalamocortical Synapses by Bridging NRX1α and NL1 via Hevin","Singh SK, Stogsdill JA, Pulimood NS, Dingsdale H, Kim YH, Pilaz LJ, Kim IH, Manhaes AC, Rodrigues WS Jr, Pamukcu A, Enustun E, Ertuz Z, Scheiffele P, Soderling SH, Silver DL, Ji RR, Medina AE, Eroglu C.","Cell. 2016 Jan 14;164(1-2):183-196. doi: 10.1016/j.cell.2015.11.034.","Singh SK","Cell","2016","2016/01/16","PMC4715262","NIHMS740070","10.1016/j.cell.2015.11.034"
"31302032","Single cell analysis of autism patient with bi-allelic NRXN1-alpha deletion reveals skewed fate choice in neural progenitors and impaired neuronal functionality","Lam M, Moslem M, Bryois J, Pronk RJ, Uhlin E, Ellström ID, Laan L, Olive J, Morse R, Rönnholm H, Louhivuori L, Korol SV, Dahl N, Uhlén P, Anderlid BM, Kele M, Sullivan PF, Falk A.","Exp Cell Res. 2019 Oct 1;383(1):111469. doi: 10.1016/j.yexcr.2019.06.014. Epub 2019 Jul 12.","Lam M","Exp Cell Res","2019","2019/07/15","","","10.1016/j.yexcr.2019.06.014"
"31138894","Genetic insights and neurobiological implications from NRXN1 in neuropsychiatric disorders","Hu Z, Xiao X, Zhang Z, Li M.","Mol Psychiatry. 2019 Oct;24(10):1400-1414. doi: 10.1038/s41380-019-0438-9. Epub 2019 May 28.","Hu Z","Mol Psychiatry","2019","2019/05/30","","","10.1038/s41380-019-0438-9"
