PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"28584888","Autism spectrum disorder: neuropathology and animal models","Varghese M, Keshav N, Jacot-Descombes S, Warda T, Wicinski B, Dickstein DL, Harony-Nicolas H, De Rubeis S, Drapeau E, Buxbaum JD, Hof PR.","Acta Neuropathol. 2017 Oct;134(4):537-566. doi: 10.1007/s00401-017-1736-4. Epub 2017 Jun 5.","Varghese M","Acta Neuropathol","2017","2017/06/07","PMC5693718","NIHMS882322","10.1007/s00401-017-1736-4"
"31230762","The Autism-Associated Gene Scn2a Contributes to Dendritic Excitability and Synaptic Function in the Prefrontal Cortex","Spratt PWE, Ben-Shalom R, Keeshen CM, Burke KJ Jr, Clarkson RL, Sanders SJ, Bender KJ.","Neuron. 2019 Aug 21;103(4):673-685.e5. doi: 10.1016/j.neuron.2019.05.037. Epub 2019 Jun 20.","Spratt PWE","Neuron","2019","2019/06/25","PMC7935470","NIHMS1034203","10.1016/j.neuron.2019.05.037"
"31904117","SCN1A-related phenotypes: Epilepsy and beyond","Scheffer IE, Nabbout R.","Epilepsia. 2019 Dec;60 Suppl 3:S17-S24. doi: 10.1111/epi.16386.","Scheffer IE","Epilepsia","2019","2020/01/07","","","10.1111/epi.16386"
"31924505","The phenotypic spectrum of SCN2A-related epilepsy","Reynolds C, King MD, Gorman KM.","Eur J Paediatr Neurol. 2020 Jan;24:117-122. doi: 10.1016/j.ejpn.2019.12.016. Epub 2019 Dec 12.","Reynolds C","Eur J Paediatr Neurol","2020","2020/01/12","","","10.1016/j.ejpn.2019.12.016"
"29691040","Progress in Understanding and Treating SCN2A-Mediated Disorders","Sanders SJ, Campbell AJ, Cottrell JR, Moller RS, Wagner FF, Auldridge AL, Bernier RA, Catterall WA, Chung WK, Empfield JR, George AL Jr, Hipp JF, Khwaja O, Kiskinis E, Lal D, Malhotra D, Millichap JJ, Otis TS, Petrou S, Pitt G, Schust LF, Taylor CM, Tjernagel J, Spiro JE, Bender KJ.","Trends Neurosci. 2018 Jul;41(7):442-456. doi: 10.1016/j.tins.2018.03.011. Epub 2018 Apr 23.","Sanders SJ","Trends Neurosci","2018","2018/04/26","PMC6015533","NIHMS957592","10.1016/j.tins.2018.03.011"
"31904120","SCN2A channelopathies: Mechanisms and models","Hedrich UBS, Lauxmann S, Lerche H.","Epilepsia. 2019 Dec;60 Suppl 3:S68-S76. doi: 10.1111/epi.14731.","Hedrich UBS","Epilepsia","2019","2020/01/07","","","10.1111/epi.14731"
"32699506","Neurodevelopmental disorders-the history and future of a diagnostic concept ","Morris-Rosendahl DJ, Crocq MA.","Dialogues Clin Neurosci. 2020 Mar;22(1):65-72. doi: 10.31887/DCNS.2020.22.1/macrocq.","Morris-Rosendahl DJ","Dialogues Clin Neurosci","2020","2020/07/24","PMC7365295","","10.31887/DCNS.2020.22.1/macrocq"
"33000761","The phenotype and treatment of SCN2A-related developmental and epileptic encephalopathy","Kim HJ, Yang D, Kim SH, Kim B, Kim HD, Lee JS, Choi JR, Lee ST, Kang HC.","Epileptic Disord. 2020 Oct 1;22(5):563-570. doi: 10.1684/epd.2020.1199.","Kim HJ","Epileptic Disord","2020","2020/10/01","","","10.1684/epd.2020.1199"
"28256214","Opposing Effects on Na(V)1.2 Function Underlie Differences Between SCN2A Variants Observed in Individuals With Autism Spectrum Disorder or Infantile Seizures","Ben-Shalom R, Keeshen CM, Berrios KN, An JY, Sanders SJ, Bender KJ.","Biol Psychiatry. 2017 Aug 1;82(3):224-232. doi: 10.1016/j.biopsych.2017.01.009. Epub 2017 Jan 27.","Ben-Shalom R","Biol Psychiatry","2017","2017/03/04","PMC5796785","NIHMS847748","10.1016/j.biopsych.2017.01.009"
"31904126","Phenotypic spectrum and genetics of SCN2A-related disorders, treatment options, and outcomes in epilepsy and beyond","Wolff M, Brunklaus A, Zuberi SM.","Epilepsia. 2019 Dec;60 Suppl 3:S59-S67. doi: 10.1111/epi.14935.","Wolff M","Epilepsia","2019","2020/01/07","","","10.1111/epi.14935"
"31758607","Dysfunction of the corticostriatal pathway in autism spectrum disorders","Li W, Pozzo-Miller L.","J Neurosci Res. 2020 Nov;98(11):2130-2147. doi: 10.1002/jnr.24560. Epub 2019 Nov 22.","Li W","J Neurosci Res","2020","2019/11/24","PMC7242149","NIHMS1541880","10.1002/jnr.24560"
"27824329","De novo genic mutations among a Chinese autism spectrum disorder cohort","Wang T, Guo H, Xiong B, Stessman HA, Wu H, Coe BP, Turner TN, Liu Y, Zhao W, Hoekzema K, Vives L, Xia L, Tang M, Ou J, Chen B, Shen Y, Xun G, Long M, Lin J, Kronenberg ZN, Peng Y, Bai T, Li H, Ke X, Hu Z, Zhao J, Zou X, Xia K, Eichler EE.","Nat Commun. 2016 Nov 8;7:13316. doi: 10.1038/ncomms13316.","Wang T","Nat Commun","2016","2016/11/09","PMC5105161","","10.1038/ncomms13316"
