PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"28584888","Autism spectrum disorder: neuropathology and animal models","Varghese M, Keshav N, Jacot-Descombes S, Warda T, Wicinski B, Dickstein DL, Harony-Nicolas H, De Rubeis S, Drapeau E, Buxbaum JD, Hof PR.","Acta Neuropathol. 2017 Oct;134(4):537-566. doi: 10.1007/s00401-017-1736-4. Epub 2017 Jun 5.","Varghese M","Acta Neuropathol","2017","2017/06/07","PMC5693718","NIHMS882322","10.1007/s00401-017-1736-4"
"30522820","Mechanisms Underlying Microbial-Mediated Changes in Social Behavior in Mouse Models of Autism Spectrum Disorder","Sgritta M, Dooling SW, Buffington SA, Momin EN, Francis MB, Britton RA, Costa-Mattioli M.","Neuron. 2019 Jan 16;101(2):246-259.e6. doi: 10.1016/j.neuron.2018.11.018. Epub 2018 Dec 3.","Sgritta M","Neuron","2019","2018/12/08","PMC6645363","NIHMS1515263","10.1016/j.neuron.2018.11.018"
"20301377","Phelan-McDermid Syndrome","Phelan K, Rogers RC, Boccuto L.","2005 May 11 [updated 2018 Jun 7]. In: Adam MP, Ardinger HH, Pagon RA, Wallace SE, Bean LJH, Mirzaa G, Amemiya A, editors. GeneReviews(®) [Internet]. Seattle (WA): University of Washington, Seattle; 1993–2021.","Phelan K","GeneReviews(®)","1993","2018/06/07","","",""
"28179641","SHANK proteins: roles at the synapse and in autism spectrum disorder","Monteiro P, Feng G.","Nat Rev Neurosci. 2017 Mar;18(3):147-157. doi: 10.1038/nrn.2016.183. Epub 2017 Feb 9.","Monteiro P","Nat Rev Neurosci","2017","2017/02/10","","","10.1038/nrn.2016.183"
"26687841","Mice with Shank3 Mutations Associated with ASD and Schizophrenia Display Both Shared and Distinct Defects","Zhou Y, Kaiser T, Monteiro P, Zhang X, Van der Goes MS, Wang D, Barak B, Zeng M, Li C, Lu C, Wells M, Amaya A, Nguyen S, Lewis M, Sanjana N, Zhou Y, Zhang M, Zhang F, Fu Z, Feng G.","Neuron. 2016 Jan 6;89(1):147-62. doi: 10.1016/j.neuron.2015.11.023. Epub 2015 Dec 10.","Zhou Y","Neuron","2016","2015/12/22","PMC4754122","NIHMS745296","10.1016/j.neuron.2015.11.023"
"25894671","Phelan-McDermid Syndrome and SHANK3: Implications for Treatment","Costales JL, Kolevzon A.","Neurotherapeutics. 2015 Jul;12(3):620-30. doi: 10.1007/s13311-015-0352-z.","Costales JL","Neurotherapeutics","2015","2015/04/21","PMC4489957","","10.1007/s13311-015-0352-z"
"21423165","Shank3 mutant mice display autistic-like behaviours and striatal dysfunction","Peça J, Feliciano C, Ting JT, Wang W, Wells MF, Venkatraman TN, Lascola CD, Fu Z, Feng G.","Nature. 2011 Apr 28;472(7344):437-42. doi: 10.1038/nature09965. Epub 2011 Mar 20.","Peça J","Nature","2011","2011/03/23","PMC3090611","NIHMS275551","10.1038/nature09965"
"31398341","Targeting Peripheral Somatosensory Neurons to Improve Tactile-Related Phenotypes in ASD Models","Orefice LL, Mosko JR, Morency DT, Wells MF, Tasnim A, Mozeika SM, Ye M, Chirila AM, Emanuel AJ, Rankin G, Fame RM, Lehtinen MK, Feng G, Ginty DD.","Cell. 2019 Aug 8;178(4):867-886.e24. doi: 10.1016/j.cell.2019.07.024.","Orefice LL","Cell","2019","2019/08/10","PMC6704376","NIHMS1534970","10.1016/j.cell.2019.07.024"
"23583105","Modeling autism by SHANK gene mutations in mice","Jiang YH, Ehlers MD.","Neuron. 2013 Apr 10;78(1):8-27. doi: 10.1016/j.neuron.2013.03.016.","Jiang YH","Neuron","2013","2013/04/16","PMC3659167","NIHMS461771","10.1016/j.neuron.2013.03.016"
"31332372","Anterior cingulate cortex dysfunction underlies social deficits in Shank3 mutant mice","Guo B, Chen J, Chen Q, Ren K, Feng D, Mao H, Yao H, Yang J, Liu H, Liu Y, Jia F, Qi C, Lynn-Jones T, Hu H, Fu Z, Feng G, Wang W, Wu S.","Nat Neurosci. 2019 Aug;22(8):1223-1234. doi: 10.1038/s41593-019-0445-9. Epub 2019 Jul 22.","Guo B","Nat Neurosci","2019","2019/07/24","","","10.1038/s41593-019-0445-9"
"31189958","Atypical behaviour and connectivity in SHANK3-mutant macaques","Zhou Y, Sharma J, Ke Q, Landman R, Yuan J, Chen H, Hayden DS, Fisher JW 3rd, Jiang M, Menegas W, Aida T, Yan T, Zou Y, Xu D, Parmar S, Hyman JB, Fanucci-Kiss A, Meisner O, Wang D, Huang Y, Li Y, Bai Y, Ji W, Lai X, Li W, Huang L, Lu Z, Wang L, Anteraper SA, Sur M, Zhou H, Xiang AP, Desimone R, Feng G, Yang S.","Nature. 2019 Jun;570(7761):326-331. doi: 10.1038/s41586-019-1278-0. Epub 2019 Jun 12.","Zhou Y","Nature","2019","2019/06/14","","","10.1038/s41586-019-1278-0"
"26966193","Autism-associated SHANK3 haploinsufficiency causes Ih channelopathy in human neurons","Yi F, Danko T, Botelho SC, Patzke C, Pak C, Wernig M, Südhof TC.","Science. 2016 May 6;352(6286):aaf2669. doi: 10.1126/science.aaf2669. Epub 2016 Mar 10.","Yi F","Science","2016","2016/03/12","PMC4901875","NIHMS789589","10.1126/science.aaf2669"
"31853066","IL-17a promotes sociability in mouse models of neurodevelopmental disorders","Reed MD, Yim YS, Wimmer RD, Kim H, Ryu C, Welch GM, Andina M, King HO, Waisman A, Halassa MM, Huh JR, Choi GB.","Nature. 2020 Jan;577(7789):249-253. doi: 10.1038/s41586-019-1843-6. Epub 2019 Dec 18.","Reed MD","Nature","2020","2019/12/20","PMC8112727","NIHMS1541642","10.1038/s41586-019-1843-6"
"33262327","Autism-associated miR-873 regulates ARID1B, SHANK3 and NRXN2 involved in neurodevelopment","Lu J, Zhu Y, Williams S, Watts M, Tonta MA, Coleman HA, Parkington HC, Claudianos C.","Transl Psychiatry. 2020 Dec 1;10(1):418. doi: 10.1038/s41398-020-01106-8.","Lu J","Transl Psychiatry","2020","2020/12/02","PMC7708977","","10.1038/s41398-020-01106-8"
"32199104","Autism-Associated Shank3 Is Essential for Homeostatic Compensation in Rodent V1","Tatavarty V, Torrado Pacheco A, Groves Kuhnle C, Lin H, Koundinya P, Miska NJ, Hengen KB, Wagner FF, Van Hooser SD, Turrigiano GG.","Neuron. 2020 Jun 3;106(5):769-777.e4. doi: 10.1016/j.neuron.2020.02.033. Epub 2020 Mar 20.","Tatavarty V","Neuron","2020","2020/03/22","PMC7331792","NIHMS1573337","10.1016/j.neuron.2020.02.033"
"27692350","[Epigenetics' implication in autism spectrum disorders: A review]","Hamza M, Halayem S, Mrad R, Bourgou S, Charfi F, Belhadj A.","Encephale. 2017 Aug;43(4):374-381. doi: 10.1016/j.encep.2016.07.007. Epub 2016 Sep 28.","Hamza M","Encephale","2017","2016/10/04","","","10.1016/j.encep.2016.07.007"
"31758607","Dysfunction of the corticostriatal pathway in autism spectrum disorders","Li W, Pozzo-Miller L.","J Neurosci Res. 2020 Nov;98(11):2130-2147. doi: 10.1002/jnr.24560. Epub 2019 Nov 22.","Li W","J Neurosci Res","2020","2019/11/24","PMC7242149","NIHMS1541880","10.1002/jnr.24560"
"32522805","Autism-associated SHANK3 mutations impair maturation of neuromuscular junctions and striated muscles","Lutz AK, Pfaender S, Incearap B, Ioannidis V, Ottonelli I, Föhr KJ, Cammerer J, Zoller M, Higelin J, Giona F, Stetter M, Stoecker N, Alami NO, Schön M, Orth M, Liebau S, Barbi G, Grabrucker AM, Delorme R, Fauler M, Mayer B, Jesse S, Roselli F, Ludolph AC, Bourgeron T, Verpelli C, Demestre M, Boeckers TM.","Sci Transl Med. 2020 Jun 10;12(547):eaaz3267. doi: 10.1126/scitranslmed.aaz3267.","Lutz AK","Sci Transl Med","2020","2020/06/12","","","10.1126/scitranslmed.aaz3267"
